test_id,rand_ind,ref_time,ref_obsid,y_ang_offset,z_ang_offset,search_box_hw,ccd_temp,star_0_mag,star_1_mag,star_2_mag,star_3_mag,star_4_mag,star_5_mag,star_6_mag,star_7_mag,star_0_row,star_1_row,star_2_row,star_3_row,star_4_row,star_5_row,star_6_row,star_7_row,star_0_col,star_1_col,star_2_col,star_3_col,star_4_col,star_5_col,star_6_col,star_7_col,slot_0_box_hw,slot_1_box_hw,slot_2_box_hw,slot_3_box_hw,slot_4_box_hw,slot_5_box_hw,slot_6_box_hw,slot_7_box_hw,star_0_sz,star_1_sz,star_2_sz,star_3_sz,star_4_sz,star_5_sz,star_6_sz,star_7_sz,bg_row_offset,bg_col_offset,scale_4c,int_time,hot_px_brightness,image_0_fcn,image_1_fcn,image_2_fcn,image_3_fcn,image_4_fcn,image_5_fcn,image_6_fcn,image_7_fcn,image_0_row,image_1_row,image_2_row,image_3_row,image_4_row,image_5_row,image_6_row,image_7_row,image_0_col,image_1_col,image_2_col,image_3_col,image_4_col,image_5_col,image_6_col,image_7_col,sample_time,search_success_0,search_success_1,search_success_2,search_success_3,search_success_4,search_success_5,search_success_6,search_success_7
2018.299,11,0,0,-18,18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,115.88,211.57,-106.29,-272.35,-398.77,194.16,116.1,-286.56,389.92,-179.31,-125.96,-252.55,-338.31,-366.39,104.99,209.66,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,645,432,1.42,1.696,0,1,1,1,1,1,1,1,1,112,208,-110,-276,-403,190,112,-295,386,-183,-130,-257,-342,-370,101,206,909440668.869,1,1,1,1,1,1,1,0
2018.299,12,0,0,-18,30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,104.67,-147.13,310.57,407.95,-171.26,179.51,260.25,-329.67,-162.66,293.76,-328.25,-187.85,-315.24,201.83,-141.76,161.49,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,402,980,1.42,1.696,0,1,1,1,1,1,1,1,1,101,-151,307,404,-175,175,256,-335,-167,290,-332,-192,-319,198,-146,157,909440751.882,1,1,1,1,1,1,1,1
2018.299,13,0,0,-6,-30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-115.36,381.16,-331.51,270.6,355.24,144.6,-322.68,-158.87,-313.95,151.43,-338.96,-411.37,-227.01,-222.84,131.35,302.36,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,696,773,1.42,1.696,0,1,1,1,1,1,1,1,1,-119,377,-336,266,351,141,-326,-162,-318,147,-343,-416,-231,-227,127,298,909440835.164,1,1,1,1,1,1,1,1
2018.299,14,0,0,-6,-18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-263.41,-106.22,338.57,-313.85,395.74,116.91,331.99,-178.89,-352.99,300.48,-233.48,300.13,179.84,-159.69,336.27,-108.39,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,133,374,1.42,1.696,0,1,1,1,1,1,1,1,1,-267,-110,335,-318,392,113,328,-183,-357,296,-238,296,176,-163,332,-112,909440918.447,1,1,1,1,1,1,1,1
2018.299,15,0,0,-6,-6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-363.79,409.07,-188.11,240.38,407.39,-287.61,222.46,-214.32,-273.94,-386.07,-219.63,160.44,239.62,209.35,318.12,-388.94,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,71,563,1.42,1.696,0,1,1,1,1,1,0,1,1,-368,405,-192,236,404,511,219,-218,-278,-390,-224,156,236,511,314,-393,909441001.471,1,1,1,1,1,0,1,1
2018.299,16,0,0,-6,6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,120.08,-330.97,-139.78,-361.16,352.67,161.13,263.32,248.49,171.42,-375.82,-353.29,242.04,-175.46,-154.25,367.94,-293.33,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,46,226,1.42,1.696,0,1,1,1,1,1,1,1,1,116,-335,-144,-365,349,157,259,244,168,-380,-357,238,-179,-158,364,-297,909441084.75,1,1,1,1,1,1,1,1
2018.299,17,0,0,-6,18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-127.17,-180.68,-257.29,369.11,160.59,384.79,-402.58,190.56,292.75,-365.32,-117.6,-226.2,-335.28,221.02,292.2,276.97,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,567,262,1.42,1.696,0,1,1,1,1,1,1,1,1,-131,-184,-261,365,156,381,-407,186,289,-369,-122,-230,-340,217,289,274,909441168.035,1,1,1,1,1,1,1,1
2018.299,18,0,0,-6,30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-234.53,-407.11,-127.32,-395.79,-197.85,378.5,182.75,-113.59,-226.63,-238.38,-383.08,150.69,148,153.43,-182.98,355.77,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,912,752,1.42,1.696,0,1,1,1,1,1,1,1,1,-239,-411,-131,-405,-202,374,179,-118,-231,-242,-387,151,144,150,-187,351,909441251.066,1,1,1,0,1,1,1,1
2018.299,19,0,0,6,-30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,251.26,386.91,-391.59,367.09,-385.69,352.77,-203.61,-252.52,-232.5,-150.35,252.03,392.74,-185.5,-365.42,-309.12,182.08,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,599,323,1.42,1.696,0,1,1,1,1,1,1,1,1,247,383,-395,363,-390,349,-213,-257,-237,-154,248,389,-189,-369,-324,179,909441334.337,1,1,1,1,1,1,0,1
2018.299,20,0,0,6,-18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,140.43,-377.96,332,-170.96,-399.56,-208.5,298.92,195.66,271.33,-266.04,-245.18,317.08,268.33,-226.29,304.17,107.27,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,544,432,1.42,1.696,0,1,1,1,1,1,1,1,1,136,-382,328,-175,-404,-212,295,184,267,-270,-249,313,264,-231,300,106,909441417.616,1,1,1,1,1,1,1,0
